split,image,width,height,n_objects
train,000000_jpg.rf.b11f308f16626f9f795a148029c46d10.jpg,416,416,1
train,000005_jpg.rf.d730849ae93a7c211a7c8f57ed851028.jpg,416,416,1
train,000007_jpg.rf.226fe0751cf8ba445b8f87970e70f606.jpg,416,416,1
train,000008_jpg.rf.bd6ae6db0f8c0eb727706bc322ce21ae.jpg,416,416,1
train,000009_jpg.rf.df4118d1d26fa7a25923521216cc2f64.jpg,416,416,1
train,00000_00000_00000_png.rf.55d47572c5980af0892b0c2ada6dae77.jpg,416,416,2
train,00000_00000_00000_png.rf.eb9b5799307ebcf07dd4c95eac0e6d13.jpg,416,416,1
train,00000_00000_00001_png.rf.56c1f101f790944f14f215c7cad2a2b8.jpg,416,416,1
train,00000_00000_00001_png.rf.8bc8cc5e727cfd7e81b5184a15dd6fc1.jpg,416,416,1
train,00000_00000_00002_png.rf.c8ad86390583e313b909403180f01ffd.jpg,416,416,1
train,00000_00000_00004_png.rf.8737f80bd4f1455970179b3df433fba5.jpg,416,416,1
train,00000_00000_00004_png.rf.aca6f66c5ac9e8f41d9ed188ecff427d.jpg,416,416,1
train,00000_00000_00005_png.rf.998f471ba534c1f2ccafdafcd63c12a4.jpg,416,416,1
train,00000_00000_00006_png.rf.80574bc0c6d4cc6f5e2f151110a5e7a1.jpg,416,416,1
train,00000_00000_00007_png.rf.a57de5d1a4e7ac7afa168838fec08c3a.jpg,416,416,1
train,00000_00000_00007_png.rf.e65cb79547cb26225e34cf96c75390f9.jpg,416,416,1
train,00000_00000_00009_png.rf.7a7e4b7c3ed71a74def7182676a7bba1.jpg,416,416,1
train,00000_00000_00009_png.rf.dde8d8d36714e3bfb58f14584ef7f914.jpg,416,416,1
train,00000_00000_00010_png.rf.cc22992c8805ae0febeef000ea8fd28b.jpg,416,416,1
train,00000_00000_00011_png.rf.404c1502e178912808115127b5e73467.jpg,416,416,1
train,00000_00000_00012_png.rf.23f94508dba03ef2f8bd187da2ec9c26.jpg,416,416,1
train,00000_00000_00012_png.rf.73e86fab50068353dd187cc81208ee6c.jpg,416,416,1
train,00000_00000_00013_png.rf.eaebee05e4e458ab25cab909fadb5bc5.jpg,416,416,1
train,00000_00000_00014_png.rf.694d0e7405b730caa1bb6b94098c2c98.jpg,416,416,1
train,00000_00000_00014_png.rf.7d57503dd238ed8505b030e26b99b346.jpg,416,416,1
train,00000_00000_00015_png.rf.60cb86c849b7df5b89b97f1f1c5326e3.jpg,416,416,1
train,00000_00000_00015_png.rf.9ba1631d1d7d07e7e3f4fe005185c1e3.jpg,416,416,1
train,00000_00000_00016_png.rf.b8f0678f2b179f3b8d50d47b1549b069.jpg,416,416,1
train,00000_00000_00018_png.rf.67d0434cb6088b197afa648c7f87aea6.jpg,416,416,1
train,00000_00000_00018_png.rf.a83b8e1a07ecacaa708b9e38914a0898.jpg,416,416,1
train,00000_00000_00019_png.rf.916a28faf81794a528c09b22b4f80c9a.jpg,416,416,1
train,00000_00000_00020_png.rf.cdc490b57357892ffe0520d855fa4fb0.jpg,416,416,1
train,00000_00000_00021_png.rf.f43fe5f0254d6bb3dd0c26260748a449.jpg,416,416,1
train,00000_00000_00022_png.rf.b78ff58422bba447f4be0ae2fb42dcc8.jpg,416,416,1
train,00000_00000_00022_png.rf.c1c5a93ef0e8f181bbd7e039dcb64f2c.jpg,416,416,1
train,00000_00000_00025_png.rf.1fccf78acacf5d504932d3ac185e6f5e.jpg,416,416,1
train,00000_00000_00026_png.rf.f61545c34254497b2d7ea8c3b377f79a.jpg,416,416,1
train,00000_00000_00027_png.rf.f6c9b515022704235dad9ac1652c8814.jpg,416,416,1
train,00000_00000_00029_png.rf.31a6cf4db89ed5e32a8ba63377ca6a3d.jpg,416,416,1
train,00000_00001_00000_png.rf.44c5329f50d329a5f1c86c3506baf931.jpg,416,416,1
train,00000_00001_00000_png.rf.d8be1d69840721c7a2ee07ab55ab46e3.jpg,416,416,1
train,00000_00001_00001_png.rf.7dae87785975134d9c0ec77547e977a5.jpg,416,416,1
train,00000_00001_00002_png.rf.4838f67939aa261f2dc5fe638dfb11cd.jpg,416,416,1
train,00000_00001_00002_png.rf.ad7d45b3320346643b7d414560558d7f.jpg,416,416,1
train,00000_00001_00003_png.rf.ab39d08edbbf408752978c1c22214eb5.jpg,416,416,1
train,00000_00001_00003_png.rf.c46f44e7791b0a0da6440d8b94cd277a.jpg,416,416,1
train,00000_00001_00004_png.rf.7481e74a5b3633e55dea8d0167c17489.jpg,416,416,1
train,00000_00001_00005_png.rf.1753b19f8e629223f6b73bcda963ee18.jpg,416,416,1
train,00000_00001_00006_png.rf.20a8ef1db6043b46b4c5500cad5fcb7f.jpg,416,416,1
train,00000_00001_00006_png.rf.4afd9a3e60a767668f99bb5255075956.jpg,416,416,1
train,00000_00001_00007_png.rf.5c2378e387da98bb9384318b9efca52f.jpg,416,416,1
train,00000_00001_00007_png.rf.f61a3c4d3170cd28ab77c978d4884386.jpg,416,416,1
train,00000_00001_00008_png.rf.6b36bc0b0b2ea9e5736cd4df1da4238e.jpg,416,416,1
train,00000_00001_00010_png.rf.b3a1f62105870b9b00c96091b5145d7f.jpg,416,416,1
train,00000_00001_00010_png.rf.ea5641ae5e2840a7671c24d4d6fcc379.jpg,416,416,1
train,00000_00001_00011_png.rf.5e4bcaa6ed929e41f33ce648f68470ed.jpg,416,416,1
train,00000_00001_00011_png.rf.946847009a425faa30235cca05b9db6a.jpg,416,416,1
train,00000_00001_00012_png.rf.10e77778f30d11a8c98a6168a92a5e14.jpg,416,416,1
train,00000_00001_00013_png.rf.a7654a177d582ba334fdc342f89949fa.jpg,416,416,1
train,00000_00001_00014_png.rf.17d537ec22738c44026c810b548e119d.jpg,416,416,1
train,00000_00001_00016_png.rf.bcc59e0f7b82cb846e18f8c2483e200f.jpg,416,416,1
train,00000_00001_00017_png.rf.37da7e35d170d5aa6878f332a40dfd5d.jpg,416,416,1
train,00000_00001_00018_png.rf.f49715c65e528783b12b8d7529fe49c2.jpg,416,416,1
train,00000_00001_00018_png.rf.feb3db876334ff788004595562f7804c.jpg,416,416,1
train,00000_00001_00021_png.rf.b6474a7f9ca1ce8f8e81d86e9dfd59ea.jpg,416,416,1
train,00000_00001_00022_png.rf.53d2ec9d6d92ab4d0edfcb6592d6f4fd.jpg,416,416,1
train,00000_00001_00023_png.rf.906e18ed067fa91f81cd2f5ec00980e5.jpg,416,416,1
train,00000_00001_00024_png.rf.53dca9f7f670879bb99ce5d538f5f1d8.jpg,416,416,1
train,00000_00001_00025_png.rf.281f2e0ec1afff9409e3e9437443ea67.jpg,416,416,1
train,00000_00001_00026_png.rf.b0c10369d5ea463db5c7d8aab941759a.jpg,416,416,1
train,00000_00001_00027_png.rf.d839d40238237e8726dc406cef0e3bc3.jpg,416,416,1
train,00000_00001_00028_png.rf.12fb0d4013e37f2d7e1d47c15d884495.jpg,416,416,1
train,00000_00001_00028_png.rf.38c1f2be2e44ea428f46035c13a82050.jpg,416,416,1
train,00000_00001_00029_png.rf.0c4e5658cb9e52dfea550fb289675ac3.jpg,416,416,1
train,00000_00001_00029_png.rf.5406b89dc789ab3d0f8fa44df57140f4.jpg,416,416,1
