epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.3832,0.85351,3.42248,1.17807,0.25454,0.47932,0.29273,0.23344,0.77452,3.21552,1.11603,0.00017454,0.00017454,0.00017454
2,73.524,0.75823,2.40536,1.07787,0.46294,0.51368,0.49898,0.40503,0.77352,2.58256,1.09723,0.000338327,0.000338327,0.000338327
3,109.017,0.75682,1.95474,1.07911,0.64029,0.62095,0.69952,0.57472,0.72971,1.85581,1.06681,0.000490543,0.000490543,0.000490543
4,145.439,0.74007,1.61439,1.06785,0.76817,0.72037,0.78817,0.63904,0.76331,1.48376,1.10278,0.000473926,0.000473926,0.000473926
5,181.153,0.7091,1.33434,1.03809,0.87953,0.76339,0.86393,0.72807,0.68566,1.10125,1.01849,0.000456568,0.000456568,0.000456568
6,216.947,0.69232,1.20928,1.03087,0.87664,0.79503,0.87728,0.73616,0.67802,0.96455,1.00681,0.00043921,0.00043921,0.00043921
7,252.718,0.67222,1.09708,1.02833,0.93242,0.78666,0.89262,0.74114,0.6868,0.86926,1.0383,0.000421852,0.000421852,0.000421852
8,288.448,0.65878,1.02375,1.02201,0.91536,0.81378,0.9136,0.76432,0.67504,0.76905,1.00722,0.000404494,0.000404494,0.000404494
9,324.081,0.65052,0.96992,1.01154,0.90708,0.84686,0.91354,0.76964,0.64719,0.68374,0.99161,0.000387136,0.000387136,0.000387136
10,359.951,0.62441,0.89869,1.00054,0.93718,0.84556,0.93245,0.78428,0.63905,0.65292,0.99099,0.000369778,0.000369778,0.000369778
11,395.697,0.61767,0.85239,0.99282,0.91261,0.84534,0.92182,0.77742,0.63603,0.63161,0.99681,0.00035242,0.00035242,0.00035242
12,431.329,0.61229,0.84044,0.99292,0.9374,0.84745,0.92812,0.77533,0.64413,0.60611,0.98289,0.000335062,0.000335062,0.000335062
13,467.041,0.61437,0.79543,0.98764,0.95029,0.84372,0.93197,0.78687,0.63116,0.57656,0.96676,0.000317704,0.000317704,0.000317704
14,502.8,0.59994,0.77384,0.98979,0.94922,0.86234,0.94564,0.79756,0.62482,0.54947,0.97891,0.000300346,0.000300346,0.000300346
15,538.603,0.5971,0.7422,0.98171,0.95011,0.87039,0.94604,0.79503,0.62293,0.51983,0.97678,0.000282988,0.000282988,0.000282988
16,574.426,0.58456,0.76445,0.97828,0.91265,0.87701,0.94671,0.80445,0.60727,0.50977,0.96258,0.00026563,0.00026563,0.00026563
17,610.208,0.57126,0.70643,0.97163,0.92601,0.88316,0.95521,0.80926,0.61209,0.48459,0.95937,0.000248272,0.000248272,0.000248272
18,645.966,0.56048,0.69241,0.97222,0.9336,0.90245,0.95474,0.80508,0.61701,0.48422,0.9701,0.000230914,0.000230914,0.000230914
19,681.726,0.57131,0.68716,0.96839,0.9531,0.8852,0.95968,0.81161,0.61269,0.46344,0.96537,0.000213556,0.000213556,0.000213556
20,717.391,0.55961,0.66624,0.96555,0.93248,0.91213,0.96223,0.81703,0.60309,0.44691,0.95724,0.000196198,0.000196198,0.000196198
21,755.195,0.56089,0.48054,0.93996,0.9229,0.89427,0.95083,0.80044,0.60932,0.46913,0.95756,0.00017884,0.00017884,0.00017884
22,791.284,0.54753,0.45554,0.93235,0.92971,0.92221,0.95943,0.82221,0.58909,0.43287,0.94869,0.000161482,0.000161482,0.000161482
23,827.44,0.54231,0.43072,0.92482,0.94535,0.92213,0.96658,0.81759,0.59457,0.42108,0.9574,0.000144124,0.000144124,0.000144124
24,863.524,0.52864,0.40939,0.91705,0.93151,0.94731,0.96279,0.82011,0.57939,0.41636,0.94727,0.000126766,0.000126766,0.000126766
25,899.66,0.52671,0.39926,0.91555,0.95098,0.9354,0.96583,0.81949,0.58356,0.40676,0.94682,0.000109408,0.000109408,0.000109408
26,935.534,0.51244,0.38845,0.90911,0.94727,0.92325,0.96547,0.82809,0.58069,0.39145,0.93897,9.205e-05,9.205e-05,9.205e-05
27,971.626,0.51141,0.37316,0.90602,0.95433,0.93287,0.96805,0.83272,0.5732,0.37315,0.93562,7.4692e-05,7.4692e-05,7.4692e-05
28,1007.74,0.49383,0.36515,0.89811,0.95408,0.92599,0.96728,0.82991,0.57688,0.3766,0.93832,5.7334e-05,5.7334e-05,5.7334e-05
29,1043.75,0.49482,0.3525,0.89927,0.954,0.93557,0.9689,0.82949,0.56833,0.37151,0.93801,3.9976e-05,3.9976e-05,3.9976e-05
30,1079.93,0.47996,0.34335,0.89267,0.95259,0.94139,0.96946,0.83544,0.55869,0.35929,0.93085,2.2618e-05,2.2618e-05,2.2618e-05
